Ticker,MaxDrawdown,DebtToEquity,ReturnSD,PriceChange12M,RSI,EarningsGrowth,ROE,ROA,OperatingMargin,EBITDAMargin,LogMarketCap,RevenueGrowth,PE,Sector,MaxDrawdown_ZScore,DebtToEquity_ZScore,ReturnSD_ZScore,PriceChange12M_ZScore,RSI_ZScore,EarningsGrowth_ZScore,ROE_ZScore,ROA_ZScore,OperatingMargin_ZScore,EBITDAMargin_ZScore,LogMarketCap_ZScore,RevenueGrowth_ZScore,PE_ZScore,Risk_Score,Momentum_Score,Quality_Score,Size_Score,Growth_Score
ALLE,0.298405620390051,105.863,0.015699068707197807,-0.066996634,40.26194321202598,-0.07,0.34179002,0.11034001,0.18876,0.24299,23.137184666660122,0.097,17.769127,industrials,0.22413444365210816,-0.07697475850394479,-0.7954201190061839,-0.5793091291936748,-0.89221862370027,-0.2689494788750692,-0.06438337775051177,0.9436516784987871,0.4783698323780765,0.5094616269013279,-0.5226266188697927,-0.07802128314382056,-0.51713228338608,-0.21608681128600685,-0.5801590772563381,0.46677494000691994,-0.5226266188697927,-0.07802128314382056
FBIN,0.4793413479134889,125.712,0.02707954265747375,-0.20481926,51.82558645110229,-0.524,0.11653,0.0596,0.06546,0.18267,22.259118644569373,-0.021,17.306665,industrials,1.718260572508917,-0.055652781602185786,0.6810848494655591,-0.8178839786598427,0.16280082929668316,-0.476127912709734,-0.0993881771275176,-0.27387632216294344,-0.7056217900300641,-0.06074790072731916,-1.3085814670382383,-0.09019949090008839,-0.5277288803794037,0.7812308801240967,-0.37707035402429784,-0.28490854751196104,-1.3085814670382383,-0.09019949090008839
OSK,0.3306170967304039,25.677,0.024337734933616108,0.3226167,43.30445820102266,-0.605,0.13284001,0.05444,0.036199998,0.104540005,22.81582967150442,0.002,14.476616,industrials,0.4901294967459745,-0.16311129131892022,0.32536216651246025,0.09512253131656533,-0.6146320159969774,-0.513091465882879,-0.0968536455764374,-0.397692704607774,-0.9865917595324603,-0.7993166597223216,-0.8102707254306856,-0.08782577243912093,-0.5925750487659056,0.21746012397983816,-0.34420031685443037,-0.5701136923597483,-0.8102707254306856,-0.08782577243912093
GWW,0.1570013899987151,64.034,0.015645731641500345,0.14872861,63.285839521971766,0.182,0.46129,0.19511,0.16723,0.16785999,24.78839305832372,0.101,33.22315,industrials,-0.9435495635388701,-0.12190785195065126,-0.8023400805868786,-0.20588265266323674,1.2083873867561616,-0.15395175789195126,-0.0458134032585615,2.9777434423911253,0.2716274185058357,-0.20074804671995086,0.9553661608466049,-0.07760846254191317,-0.16302739767319122,-0.6225991653588,0.2828509920669912,0.7507023527296122,0.9553661608466049,-0.07760846254191317
CNH,0.3318840366343616,333.719,0.021129137522730428,-0.17661291,49.04821604761277,-0.944,0.0484,0.00945,0.026919998,0.0598,23.261704983170105,-0.001,31.90625,industrials,0.5005915986210691,0.16779023564826429,-0.09092190387842246,-0.7690579919510999,-0.09059507226119827,-0.6677907810149305,-0.10997539531898988,-1.477246783327334,-1.0757032133519862,-1.2222473148475423,-0.4111687740217936,-0.08813538789055146,-0.19320211166160073,0.19248664346363695,-0.5091479484090762,-0.971293176711463,-0.4111687740217936,-0.08813538789055146
SITE,0.3347626433438218,68.728,0.026014940440541548,-0.048870206,36.15426554873546,,0.09993,0.04493,-0.02755,0.08003,22.294352300547505,0.001,32.130177,industrials,0.5243624788014348,-0.11686551432271755,0.5429631447268636,-0.5479317715204918,-1.2669863116870486,1.0132787112291824e-16,-0.10196777234223124,-0.6258891769043514,-1.598752858969084,-1.0310115929654544,-1.2770439037593688,-0.08792897758959778,-0.18807117295761205,0.3168200364018603,-0.6049726944025134,-0.8394053502952803,-1.2770439037593688,-0.08792897758959778
ALSN,0.23218861270291546,228.639,0.017480515286916985,0.11293006,40.64213878970605,-0.404,0.30437002,0.08254,0.19488001,0.30219,22.96564668055515,0.836,17.6563,industrials,-0.3226705611651154,0.054912340901081304,-0.5642948831403629,-0.2678509515211985,-0.8575311361928356,-0.42136709319396354,-0.07019834479476382,0.2765786804115554,0.537137395792951,1.069083709719894,-0.6761698700973419,-0.0017526769414313499,-0.519717538496696,-0.2773510344681323,-0.5155830603026659,0.4531503602824091,-0.6761698700973419,-0.0017526769414313499
FTAI,0.3114757951789368,809.979,0.0398050095294589,1.1631906,51.18173063825528,0.483,2.3329,0.11344,0.22479999,0.35992,24.008171039073712,0.655,51.757454,industrials,0.3320649774836323,0.6793930730320994,2.332089468842862,1.5501796397023082,0.10405806169007727,-0.016593368939893768,0.24502974130831678,1.0180372497032735,0.8244448220915652,1.6148097712252287,0.2569912513868456,-0.020432809177740475,0.26165733326631496,1.114515839786198,0.5458814441508305,0.9255803960820961,0.2569912513868456,-0.020432809177740475
OTIS,0.28487963361743635,,0.014679607117679072,-0.24806285,30.777350769632676,0.426,,0.13346,0.15395,0.17021,24.02583718069798,0.064,18.840425,industrials,0.1124399180205288,0.0,-0.9276852697079273,-0.8927398515600347,-1.7575539962633662,-0.04260475820988472,0.0,1.4984256172508525,0.14410585528134187,-0.17853322423947002,0.27280417354611897,-0.08142705310955647,-0.49258515699352534,-0.27174845056246616,-0.8976328686777618,0.36599956207318113,0.27280417354611897,-0.08142705310955647
WAB,0.13289931110015474,62.03,0.014741018322724456,0.29460168,52.79384150582985,0.128,0.11305001,0.06041,0.18983,0.219,24.514542490510422,0.13,36.887005,industrials,-1.142579055032984,-0.12406056703509508,-0.919717767671938,0.046627742229527584,0.2511404552329299,-0.17859412667404795,-0.0999289581848219,-0.2544400295698596,0.48864453664390534,0.2826823402996826,0.7102431563895453,-0.07461551317808464,-0.07907586246170628,-0.7287857965800058,0.039724690262803175,0.1042394722972266,0.7102431563895453,-0.07461551317808464
FIX,0.13769865145123103,45.489,0.033467051349682135,2.8320827,59.21387834925516,0.388,0.53294,0.17266001,0.07885,0.1713,24.88719370992966,0.01,52.914906,industrials,-1.1029471928354473,-0.14182906015474822,1.5098015058552032,4.439078894406517,0.8368783251009989,-0.05994568438987868,-0.034679186563728266,2.439046437018524,-0.5770439487969335,-0.16822937170108757,1.0438023936335121,-0.08700013123530616,0.2881785444860831,0.08834175095500256,1.7386705117058792,0.4147734824891936,1.0438023936335121,-0.08700013123530616
KBR,0.43181599575220175,176.904,0.020035787410372083,-0.31591308,46.05978981514451,-0.087,0.29149,0.049829997,0.06708,0.085030004,22.211960933091664,-0.047,10.309734,industrials,1.3258070122351329,-0.0006618681277111808,-0.232773366324509,-1.0101905117186567,-0.36324684332640905,-0.2767072616398033,-0.0721998651536443,-0.50831167641394,-0.690065695721052,-0.9837461765367186,-1.3507922245803443,-0.09288282481248639,-0.6880526648137848,0.3641239259276376,-0.550048205561623,-0.5635808534563387,-1.3507922245803443,-0.09288282481248639
SNA,0.08467873497373368,21.731,0.01333087895691673,0.1728965,52.25391273133215,0.04,0.18202,0.099180005,0.24566,0.26888,23.67970561237064,0.052,19.154284,industrials,-1.5407736168542896,-0.16735012052212142,-1.1026695312759676,-0.16404735401884069,0.20187956499697482,-0.21875206098561295,-0.08921120781356606,0.6758626383502944,1.024753638663747,0.7542017573772176,-0.037017385866078306,-0.08266551491527863,-0.48539356647208237,-0.936931089550793,-0.0603066166691596,0.5914017066444233,-0.037017385866078306,-0.08266551491527863
AMTM,0.40047959680691636,83.5,0.02880593339544984,0.2023809,34.12639325073734,12.366,0.028870001,0.02864,0.04112,0.07028,22.459418824405905,-0.004,38.716663,industrials,1.0670381494500487,-0.1009972971433743,0.905067129402458,-0.1130090267444766,-1.4520010754902037,5.406096783609272,-0.11301030447343337,-1.0167746168319272,-0.9393473057592949,-1.1231790812674989,-1.1292932432931866,-0.088445003341982,-0.03715209691640646,0.6237026605697108,1.280362227124864,-0.7980778270830386,-1.1292932432931866,-0.088445003341982
FCN,0.23135328318919218,60.6,0.0169683737928295,-0.05438608,32.63232340986008,0.092,0.13994001,0.07191,0.08534,0.11494,22.253111542882746,0.095,18.257448,industrials,-0.329568522500571,-0.12559668608237784,-0.6307402231046427,-0.5574799048525643,-1.5883138891659982,-0.1950223725287791,-0.09575032473159001,0.021507334406022593,-0.5147235462873729,-0.7010047194655197,-1.3139584097455803,-0.07822769344477425,-0.5059431676525131,-0.36196847722919717,-0.7802720555157805,-0.32249281401961505,-1.3139584097455803,-0.07822769344477425
WM,0.1813541856079534,228.408,0.011610630178389985,-0.12655926,40.52267689481374,0.133,0.29936,0.065960005,0.1752,0.3015,25.16494258393302,0.035,30.602028,industrials,-0.7424497104114165,0.05466419859344329,-1.3258549521644007,-0.6824137132824998,-0.8684303502551792,-0.17631242586089085,-0.0709768883861867,-0.1212653121956886,0.34815956149523464,1.062561087470826,1.2924147628679798,-0.084420002473385,-0.2230863290109754,-0.6712134879941246,-0.5757188297995233,0.3046196120960463,1.2924147628679798,-0.084420002473385
CPRT,0.37257188181285267,1.059,0.01463441554596602,-0.35492128,47.6325734998219,0.023,0.17607,0.11336,0.37530997,0.42279,24.135694663270367,0.021,20.354038,industrials,0.8365825797289272,-0.189556171532911,-0.9335484332685056,-1.0777148051749879,-0.21975250089601972,-0.22650984375034708,-0.09013582176100861,1.0161176158669196,2.269721021676454,2.2091246419482564,0.37113734993957315,-0.08586487458006085,-0.4579030707575632,-0.09550734169082979,-0.5079923832737848,1.3512068644326554,0.37113734993957315,-0.08586487458006085
KEX,0.3383266098097987,34.684,0.02206047423829989,0.25717604,47.217407426887505,0.128,0.10689,0.052729998,0.13315,0.22805001,22.74051655495575,0.074,21.62923,industrials,0.5537929041357335,-0.1534358897392868,0.029909908036152816,-0.01815709527004951,-0.25763055317715605,-0.17859412667404795,-0.10088620711967661,-0.4387249258506859,-0.055626713624492195,0.3682327701261834,-0.8776833203756079,-0.08039500160478802,-0.428684030678356,0.14342230747753315,-0.1514605917070845,-0.05675126911716785,-0.8776833203756079,-0.08039500160478802
LUV,0.3349131106180609,93.033,0.027963927868712643,0.29719114,54.25531825571791,,0.10062,0.01936,0.04552,0.076620005,23.76744685867974,0.128,28.633333,industrials,0.5256050033655755,-0.09075686156453061,0.7958251638094529,0.051110170460859305,0.3844796087640818,1.0132787112291824e-16,-0.10186054820378831,-1.2394521418489868,-0.89709618541383,-1.0632465339164832,0.04151959903715042,-0.07482192347903834,-0.26819591102586793,0.4102244352034992,0.14519659307498042,-0.8254138523457721,0.04151959903715042,-0.07482192347903834
